Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Body,2.22044604925031E-16,0.0494666684847991,-0.000433806407116308,0,0,0,7.87232150894746,0.0615804330234303,8.85667741428447E-19,1.01698396409081E-18,0.0969437093098222,0.000155611639535358,0.0465442944559655,0,0,0,0,0,0,package://Quad_LimitHip/meshes/Body.STL,0.286274509803922,0.662745098039216,0.329411764705882,1,0,0,0,0,0,0,package://Quad_LimitHip/meshes/Body.STL,,LegAssem-1/BearingPlanetary_UpdatedConnection-3/TestMotorClamp2-1;LegAssem-1/BearingPlanetary_UpdatedConnection-3/PlanetaryTrack_Base-1;LegAssem-1/BearingPlanetary_UpdatedConnection-3/MN5008-1/Stator-1;LegAssem-1/BearingPlanetary_UpdatedConnection-3/MN5008-1/Rotor-1;LegAssem-1/BearingPlanetary_UpdatedConnection-3/bearing_holder-1;LegAssem-1/BearingPlanetary_UpdatedConnection-3/planet_plate_2-1;LegAssem-1/BearingPlanetary_UpdatedConnection-3/PlanetBearingGearAssem-2/planet_gear_bearing-1;LegAssem-1/BearingPlanetary_UpdatedConnection-3/PlanetBearingGearAssem-3/planet_gear_bearing-1;LegAssem-1/BearingPlanetary_UpdatedConnection-3/PlanetBearingGearAssem-1/planet_gear_bearing-1;QuadBody-1;LegAssem-2/BearingPlanetary_UpdatedConnection-3/TestMotorClamp2-1;LegAssem-2/BearingPlanetary_UpdatedConnection-3/MN5008-1/Stator-1;LegAssem-2/BearingPlanetary_UpdatedConnection-3/MN5008-1/Rotor-1;LegAssem-2/BearingPlanetary_UpdatedConnection-3/bearing_holder-1;LegAssem-2/BearingPlanetary_UpdatedConnection-3/PlanetBearingGearAssem-1/planet_gear_bearing-1;LegAssem-2/BearingPlanetary_UpdatedConnection-3/PlanetBearingGearAssem-2/planet_gear_bearing-1;LegAssem-2/BearingPlanetary_UpdatedConnection-3/PlanetBearingGearAssem-3/planet_gear_bearing-1;LegAssem-3/BearingPlanetary_UpdatedConnection-3/TestMotorClamp2-1;LegAssem-3/BearingPlanetary_UpdatedConnection-3/PlanetaryTrack_Base-1;LegAssem-3/BearingPlanetary_UpdatedConnection-3/MN5008-1/Rotor-1;LegAssem-3/BearingPlanetary_UpdatedConnection-3/MN5008-1/Stator-1;LegAssem-3/BearingPlanetary_UpdatedConnection-3/bearing_holder-1;LegAssem-3/BearingPlanetary_UpdatedConnection-3/PlanetBearingGearAssem-1/planet_gear_bearing-1;LegAssem-3/BearingPlanetary_UpdatedConnection-3/PlanetBearingGearAssem-2/planet_gear_bearing-1;LegAssem-3/BearingPlanetary_UpdatedConnection-3/PlanetBearingGearAssem-3/planet_gear_bearing-1;LegAssem-4/BearingPlanetary_UpdatedConnection-3/TestMotorClamp2-1;LegAssem-4/BearingPlanetary_UpdatedConnection-3/PlanetaryTrack_Base-1;LegAssem-4/BearingPlanetary_UpdatedConnection-3/MN5008-1/Rotor-1;LegAssem-4/BearingPlanetary_UpdatedConnection-3/MN5008-1/Stator-1;LegAssem-4/BearingPlanetary_UpdatedConnection-3/bearing_holder-1;LegAssem-4/BearingPlanetary_UpdatedConnection-3/PlanetBearingGearAssem-1/planet_gear_bearing-1;LegAssem-4/BearingPlanetary_UpdatedConnection-3/planet_plate_2-1;LegAssem-4/BearingPlanetary_UpdatedConnection-3/PlanetBearingGearAssem-2/planet_gear_bearing-1;LegAssem-4/BearingPlanetary_UpdatedConnection-3/PlanetBearingGearAssem-3/planet_gear_bearing-1;LegAssem-3/BearingPlanetary_UpdatedConnection-3/planet_plate_2-1;LegAssem-2/BearingPlanetary_UpdatedConnection-3/planet_plate_2-1;LegAssem-2/BearingPlanetary_UpdatedConnection-3/PlanetaryTrack_Base-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FR_Hip,-0.0192378662036577,-1.7814408129202E-08,0.0297489009840203,0,0,0,0.244991783639164,0.000239714320228998,5.46133912745018E-12,-3.2971547488487E-12,0.000161925907771082,2.25080068955735E-10,0.00022956561256515,0,0,0,0,0,0,package://Quad_LimitHip/meshes/FR_Hip.STL,0.00784313725490196,0.23921568627451,0.823529411764706,1,0,0,0,0,0,0,package://Quad_LimitHip/meshes/FR_Hip.STL,,LegAssem-1/BearingPlanetary_UpdatedConnection-3/PlanetaryTrack_Ring_Male-2;LegAssem-1/TestMotorClamp4-1;LegAssem-1/BearingPlanetary-4/TestMotorClamp2-1;LegAssem-1/BearingPlanetary-4/PlanetaryTrack_Base-1;LegAssem-1/BearingPlanetary-4/MN5008-1/Stator-1;LegAssem-1/BearingPlanetary-4/MN5008-1/Rotor-1;LegAssem-1/BearingPlanetary-4/bearing_holder-1;LegAssem-1/BearingPlanetary-4/planet_plate_2-1;LegAssem-1/BearingPlanetary-4/PlanetBearingGearAssem-3/planet_gear_bearing-1;LegAssem-1/BearingPlanetary-4/PlanetBearingGearAssem-1/planet_gear_bearing-1;LegAssem-1/BearingPlanetary-4/PlanetBearingGearAssem-2/planet_gear_bearing-1,FR_Coord1,FR_Axis1,FR_J1,revolute,-0.1,0.05,0.205567,0,0,0,Body,0,0,-1,0,0,0,0,,,,,,,,
FR_Thigh,0.0213045756655167,5.1836887088319E-07,0.11253257794809,0,0,0,0.248973034603015,0.000362587337502832,-1.17555634444751E-10,-2.90184454490929E-06,0.000199472018851968,-1.98376637993518E-08,0.000193599008816669,0,0,0,0,0,0,package://Quad_LimitHip/meshes/FR_Thigh.STL,0.00784313725490196,0.23921568627451,0.823529411764706,1,0,0,0,0,0,0,package://Quad_LimitHip/meshes/FR_Thigh.STL,,LegAssem-1/BearingPlanetary-4/PlanetaryTrack_Ring-2;LegAssem-1/CF_Tube-4;LegAssem-1/CF_Tube-1;LegAssem-1/BeltDriver-1/20T_CF_Slider_Support-1;LegAssem-1/BeltDriver-1/20T_CF_Slider-1;LegAssem-1/BeltDriver-1/MN5008-1/Stator-1;LegAssem-1/BeltDriver-1/MN5008-1/Rotor-1;LegAssem-1/BeltDriver-1/20T_CF_Slider_Plate-1;LegAssem-1/BeltDriver-1/TestMotorClamp2-1;LegAssem-1/BeltDriver-1/BeltWheel_20T-1;LegAssem-1/BeltDriver-1/20T_MotorAdapter-1;LegAssem-1/80T_CF_Endcap-1;LegAssem-1/80T_CF_Endcap2-1,FR_Coord2,FR_Axis2,FR_J2,continuous,-0.0700000000000002,0,0.045979703345944,0,0,0,FR_Hip,1,0,0,,,,,,,,,,,,
FR_Shin,0.00941299977249616,1.65527585011954E-05,0.110857092842009,0,0,0,0.0687228409087856,6.42198625809038E-05,8.56742150772252E-09,1.18644635684574E-08,6.99945188679625E-05,6.46876984880627E-11,1.55422946691621E-05,0,0,0,0,0,0,package://Quad_LimitHip/meshes/FR_Shin.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Quad_LimitHip/meshes/FR_Shin.STL,,LegAssem-1/5mmx100mm_shaft-1;LegAssem-1/Legpart2_CF_Holder-1;LegAssem-1/BeltWheel_80T-1;LegAssem-1/Legpart2_CF_Holder-2;LegAssem-1/CF_Tube-3;LegAssem-1/CF_Tube-2;LegAssem-1/Foot-1,FR_Coord3,FR_Axis3,FR_J3,continuous,0,0,0.318,0,0,0,FR_Thigh,-1,0,0,,,,,,,,,,,,
FL_Hip,0.0192378662036576,1.78144080875686E-08,0.0297489009840203,0,0,0,0.244991783639163,0.000239714320228998,5.46133910661893E-12,3.29715476026759E-12,0.000161925907771081,-2.25080068934755E-10,0.00022956561256515,0,0,0,0,0,0,package://Quad_LimitHip/meshes/FL_Hip.STL,0.00784313725490196,0.23921568627451,0.823529411764706,1,0,0,0,0,0,0,package://Quad_LimitHip/meshes/FL_Hip.STL,,LegAssem-2/BearingPlanetary_UpdatedConnection-3/PlanetaryTrack_Ring_Male-2;LegAssem-2/TestMotorClamp4-1;LegAssem-2/BearingPlanetary-4/TestMotorClamp2-1;LegAssem-2/BearingPlanetary-4/MN5008-1/Stator-1;LegAssem-2/BearingPlanetary-4/MN5008-1/Rotor-1;LegAssem-2/BearingPlanetary-4/PlanetaryTrack_Base-1;LegAssem-2/BearingPlanetary-4/bearing_holder-1;LegAssem-2/BearingPlanetary-4/PlanetBearingGearAssem-1/planet_gear_bearing-1;LegAssem-2/BearingPlanetary-4/PlanetBearingGearAssem-3/planet_gear_bearing-1;LegAssem-2/BearingPlanetary-4/PlanetBearingGearAssem-2/planet_gear_bearing-1;LegAssem-2/BearingPlanetary-4/planet_plate_2-1,FL_Coord1,FL_Axis1,FL_J1,revolute,0.1,0.05,0.205567,0,0,0,Body,0,0,-1,0,0,0,0,,,,,,,,
FL_Thigh,-0.0189308933438371,-5.55471726962353E-07,0.112857002495059,0,0,0,0.23234282614818,0.000352781899753988,-1.17555634332559E-10,2.90184454490933E-06,0.000194519426806585,1.98376638008885E-08,0.000188646416771283,0,0,0,0,0,0,package://Quad_LimitHip/meshes/FL_Thigh.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Quad_LimitHip/meshes/FL_Thigh.STL,,LegAssem-2/CF_Tube-4;LegAssem-2/CF_Tube-1;LegAssem-2/BeltDriver-1/20T_CF_Slider_Support-1;LegAssem-2/BeltDriver-1/20T_CF_Slider-1;LegAssem-2/BeltDriver-1/BeltWheel_20T-1;LegAssem-2/BeltDriver-1/20T_MotorAdapter-1;LegAssem-2/BeltDriver-1/MN5008-1/Rotor-1;LegAssem-2/BeltDriver-1/MN5008-1/Stator-1;LegAssem-2/BeltDriver-1/TestMotorClamp2-1;LegAssem-2/80T_CF_Endcap2-1;LegAssem-2/80T_CF_Endcap-1;LegAssem-2/BearingPlanetary-4/PlanetaryTrack_Ring-2,FL_Coord2,FL_Axis2,FL_J2,continuous,0.0700000000000002,0,0.045979703345944,0,0,0,FL_Hip,-1,0,0,,,,,,,,,,,,
FL_Shin,-0.00941299977249622,-1.65527585011954E-05,0.110857092842009,0,0,0,0.0687228409087856,6.42198625809038E-05,8.56742150771986E-09,-1.18644635684561E-08,6.99945188679625E-05,-6.46876984872691E-11,1.55422946691621E-05,0,0,0,0,0,0,package://Quad_LimitHip/meshes/FL_Shin.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Quad_LimitHip/meshes/FL_Shin.STL,,LegAssem-2/5mmx100mm_shaft-1;LegAssem-2/Legpart2_CF_Holder-1;LegAssem-2/CF_Tube-2;LegAssem-2/CF_Tube-3;LegAssem-2/Legpart2_CF_Holder-2;LegAssem-2/Foot-1;LegAssem-2/BeltWheel_80T-1,FL_Coord3,FL_Axis3,FL_J3,continuous,0,0,0.318,0,0,0,FL_Thigh,1,0,0,,,,,,,,,,,,
BR_Hip,-0.0192378662036575,1.78144080736908E-08,-0.0297489009840204,0,0,0,0.244991783639164,0.000239714320228998,-5.46133910437676E-12,3.2971547491637E-12,0.000161925907771081,2.25080068971489E-10,0.00022956561256515,0,0,0,0,0,0,package://Quad_LimitHip/meshes/BR_Hip.STL,0.00784313725490196,0.23921568627451,0.823529411764706,1,0,0,0,0,0,0,package://Quad_LimitHip/meshes/BR_Hip.STL,,LegAssem-3/BearingPlanetary_UpdatedConnection-3/PlanetaryTrack_Ring_Male-2;LegAssem-3/TestMotorClamp4-1;LegAssem-3/BearingPlanetary-4/TestMotorClamp2-1;LegAssem-3/BearingPlanetary-4/MN5008-1/Stator-1;LegAssem-3/BearingPlanetary-4/MN5008-1/Rotor-1;LegAssem-3/BearingPlanetary-4/PlanetaryTrack_Base-1;LegAssem-3/BearingPlanetary-4/bearing_holder-1;LegAssem-3/BearingPlanetary-4/PlanetBearingGearAssem-3/planet_gear_bearing-1;LegAssem-3/BearingPlanetary-4/PlanetBearingGearAssem-1/planet_gear_bearing-1;LegAssem-3/BearingPlanetary-4/PlanetBearingGearAssem-2/planet_gear_bearing-1;LegAssem-3/BearingPlanetary-4/planet_plate_2-1,BR_Coord1,BR_Axis1,BR_J1,revolute,-0.1,0.0500000000000001,-0.205567,0,0,0,Body,0,0,1,0,0,0,0,,,,,,,,
BR_Thigh,0.0189308933438371,-5.55471727087253E-07,-0.112857002495059,0,0,0,0.23234282614818,0.000352781899753988,1.17555634354861E-10,2.90184454490932E-06,0.000194519426806585,-1.98376638009056E-08,0.000188646416771283,0,0,0,0,0,0,package://Quad_LimitHip/meshes/BR_Thigh.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Quad_LimitHip/meshes/BR_Thigh.STL,,LegAssem-3/CF_Tube-1;LegAssem-3/CF_Tube-4;LegAssem-3/80T_CF_Endcap2-1;LegAssem-3/80T_CF_Endcap-1;LegAssem-3/BeltDriver-1/20T_CF_Slider_Support-1;LegAssem-3/BeltDriver-1/TestMotorClamp2-1;LegAssem-3/BeltDriver-1/20T_CF_Slider-1;LegAssem-3/BeltDriver-1/MN5008-1/Rotor-1;LegAssem-3/BeltDriver-1/MN5008-1/Stator-1;LegAssem-3/BeltDriver-1/20T_MotorAdapter-1;LegAssem-3/BeltDriver-1/BeltWheel_20T-1;LegAssem-3/BearingPlanetary-4/PlanetaryTrack_Ring-2,BR_Coord2,BR_Axis2,BR_J2,continuous,-0.0700000000000003,0,-0.045979703345944,0,0,0,BR_Hip,1,0,0,,,,,,,,,,,,
BR_Shin,0.00941299977249632,-1.65527585012093E-05,-0.110857092842009,0,0,0,0.0687228409087857,6.42198625809038E-05,-8.56742150772135E-09,-1.18644635684562E-08,6.99945188679625E-05,6.46876984879332E-11,1.55422946691621E-05,0,0,0,0,0,0,package://Quad_LimitHip/meshes/BR_Shin.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Quad_LimitHip/meshes/BR_Shin.STL,,LegAssem-3/BeltWheel_80T-1;LegAssem-3/5mmx100mm_shaft-1;LegAssem-3/Legpart2_CF_Holder-1;LegAssem-3/Legpart2_CF_Holder-2;LegAssem-3/CF_Tube-3;LegAssem-3/CF_Tube-2;LegAssem-3/Foot-1,BR_Coord3,BR_Axis3,BR_J3,continuous,0,0,-0.318,0,0,0,BR_Thigh,-1,0,0,,,,,,,,,,,,
