Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Body,-0.000433806407116294,1.66533453693773E-16,0.0494666684847991,0,0,0,7.8723215089476,0.0465442944559655,1.01069069703083E-18,0.000155611639535358,0.0615804330234304,9.09320666405523E-19,0.0969437093098223,0,0,0,0,0,0,package://QuadCoordFix/meshes/Body.STL,0.286274509803922,0.662745098039216,0.329411764705882,1,0,0,0,0,0,0,package://QuadCoordFix/meshes/Body.STL,,LegAssem-1/BearingPlanetary_UpdatedConnection-3/TestMotorClamp2-1;LegAssem-1/BearingPlanetary_UpdatedConnection-3/PlanetaryTrack_Base-1;LegAssem-1/BearingPlanetary_UpdatedConnection-3/MN5008-1/Stator-1;LegAssem-1/BearingPlanetary_UpdatedConnection-3/MN5008-1/Rotor-1;LegAssem-1/BearingPlanetary_UpdatedConnection-3/bearing_holder-1;LegAssem-1/BearingPlanetary_UpdatedConnection-3/planet_plate_2-1;LegAssem-1/BearingPlanetary_UpdatedConnection-3/PlanetBearingGearAssem-2/planet_gear_bearing-1;LegAssem-1/BearingPlanetary_UpdatedConnection-3/PlanetBearingGearAssem-3/planet_gear_bearing-1;LegAssem-1/BearingPlanetary_UpdatedConnection-3/PlanetBearingGearAssem-1/planet_gear_bearing-1;QuadBody-1;LegAssem-2/BearingPlanetary_UpdatedConnection-3/TestMotorClamp2-1;LegAssem-2/BearingPlanetary_UpdatedConnection-3/MN5008-1/Stator-1;LegAssem-2/BearingPlanetary_UpdatedConnection-3/MN5008-1/Rotor-1;LegAssem-2/BearingPlanetary_UpdatedConnection-3/bearing_holder-1;LegAssem-2/BearingPlanetary_UpdatedConnection-3/PlanetBearingGearAssem-1/planet_gear_bearing-1;LegAssem-2/BearingPlanetary_UpdatedConnection-3/PlanetBearingGearAssem-2/planet_gear_bearing-1;LegAssem-2/BearingPlanetary_UpdatedConnection-3/PlanetBearingGearAssem-3/planet_gear_bearing-1;LegAssem-3/BearingPlanetary_UpdatedConnection-3/TestMotorClamp2-1;LegAssem-3/BearingPlanetary_UpdatedConnection-3/PlanetaryTrack_Base-1;LegAssem-3/BearingPlanetary_UpdatedConnection-3/MN5008-1/Rotor-1;LegAssem-3/BearingPlanetary_UpdatedConnection-3/MN5008-1/Stator-1;LegAssem-3/BearingPlanetary_UpdatedConnection-3/bearing_holder-1;LegAssem-3/BearingPlanetary_UpdatedConnection-3/PlanetBearingGearAssem-1/planet_gear_bearing-1;LegAssem-3/BearingPlanetary_UpdatedConnection-3/PlanetBearingGearAssem-2/planet_gear_bearing-1;LegAssem-3/BearingPlanetary_UpdatedConnection-3/PlanetBearingGearAssem-3/planet_gear_bearing-1;LegAssem-4/BearingPlanetary_UpdatedConnection-3/TestMotorClamp2-1;LegAssem-4/BearingPlanetary_UpdatedConnection-3/PlanetaryTrack_Base-1;LegAssem-4/BearingPlanetary_UpdatedConnection-3/MN5008-1/Rotor-1;LegAssem-4/BearingPlanetary_UpdatedConnection-3/MN5008-1/Stator-1;LegAssem-4/BearingPlanetary_UpdatedConnection-3/bearing_holder-1;LegAssem-4/BearingPlanetary_UpdatedConnection-3/PlanetBearingGearAssem-1/planet_gear_bearing-1;LegAssem-4/BearingPlanetary_UpdatedConnection-3/planet_plate_2-1;LegAssem-4/BearingPlanetary_UpdatedConnection-3/PlanetBearingGearAssem-2/planet_gear_bearing-1;LegAssem-4/BearingPlanetary_UpdatedConnection-3/PlanetBearingGearAssem-3/planet_gear_bearing-1;LegAssem-3/BearingPlanetary_UpdatedConnection-3/planet_plate_2-1;LegAssem-2/BearingPlanetary_UpdatedConnection-3/planet_plate_2-1;LegAssem-2/BearingPlanetary_UpdatedConnection-3/PlanetaryTrack_Base-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FR_Hip,0.0297489009840162,-0.0192378662036615,-1.78144099888256E-08,0,0,0,0.244991783639187,0.000229565612565136,-3.2971583646465E-12,2.25080068115479E-10,0.000239714320228986,5.4613341851816E-12,0.000161925907771085,0,0,0,0,0,0,package://QuadCoordFix/meshes/FR_Hip.STL,0.00784313725490196,0.23921568627451,0.823529411764706,1,0,0,0,0,0,0,package://QuadCoordFix/meshes/FR_Hip.STL,,LegAssem-1/BearingPlanetary_UpdatedConnection-3/PlanetaryTrack_Ring_Male-2;LegAssem-1/TestMotorClamp4-1;LegAssem-1/BearingPlanetary-4/TestMotorClamp2-1;LegAssem-1/BearingPlanetary-4/PlanetaryTrack_Base-1;LegAssem-1/BearingPlanetary-4/MN5008-1/Stator-1;LegAssem-1/BearingPlanetary-4/MN5008-1/Rotor-1;LegAssem-1/BearingPlanetary-4/bearing_holder-1;LegAssem-1/BearingPlanetary-4/planet_plate_2-1;LegAssem-1/BearingPlanetary-4/PlanetBearingGearAssem-3/planet_gear_bearing-1;LegAssem-1/BearingPlanetary-4/PlanetBearingGearAssem-1/planet_gear_bearing-1;LegAssem-1/BearingPlanetary-4/PlanetBearingGearAssem-2/planet_gear_bearing-1,FR_Coord1,FR_Axis1,FR_J1,revolute,0.20557,-0.1,0.05,0,0,0,Body,-1,0,0,0,0,0,0,,,,,,,,
FR_Thigh,0.0987271588891281,0.0214078033349636,5.23321424847345E-07,0,0,0,0.246616840112876,0.000193565727569516,-2.90184454491023E-06,-1.98376638240418E-08,0.000325264284117953,-1.17555629129176E-10,0.000162148965467068,0,0,0,0,0,0,package://QuadCoordFix/meshes/FR_Thigh.STL,0.00784313725490196,0.23921568627451,0.823529411764706,1,0,0,0,0,0,0,package://QuadCoordFix/meshes/FR_Thigh.STL,,LegAssem-1/BearingPlanetary-4/PlanetaryTrack_Ring-2;LegAssem-1/CF_Tube-4;LegAssem-1/CF_Tube-1;LegAssem-1/BeltDriver-1/20T_CF_Slider_Support-1;LegAssem-1/BeltDriver-1/20T_CF_Slider-1;LegAssem-1/BeltDriver-1/MN5008-1/Stator-1;LegAssem-1/BeltDriver-1/MN5008-1/Rotor-1;LegAssem-1/BeltDriver-1/20T_CF_Slider_Plate-1;LegAssem-1/BeltDriver-1/TestMotorClamp2-1;LegAssem-1/BeltDriver-1/BeltWheel_20T-1;LegAssem-1/BeltDriver-1/20T_MotorAdapter-1;LegAssem-1/80T_CF_Endcap-1;LegAssem-1/80T_CF_Endcap2-1,FR_Coord2,FR_Axis2,FR_J2,continuous,0.04598,-0.07,0,0,0,0,FR_Hip,0,1,0,,,,,,,,,,,,
FR_Shin,0.0138759709657014,0.00962959684662446,2.52338263830171E-05,0,0,0,0.0450804634946887,6.90685534672865E-06,1.18644635684178E-08,6.46876985012711E-11,2.55597881022079E-05,8.56742150772399E-09,2.35362361387964E-05,0,0,0,0,0,0,package://QuadCoordFix/meshes/FR_Shin.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://QuadCoordFix/meshes/FR_Shin.STL,,LegAssem-1/5mmx100mm_shaft-1;LegAssem-1/Legpart2_CF_Holder-1;LegAssem-1/BeltWheel_80T-1;LegAssem-1/Legpart2_CF_Holder-2;LegAssem-1/CF_Tube-3;LegAssem-1/CF_Tube-2,FR_Coord3,FR_Axis3,FR_J3,continuous,0.218,0,0,0,0,0,FR_Thigh,0,-1,0,,,,,,,,,,,,
FR_Foot,-0.00859640058408684,5.55111512312578E-17,1.38777878078145E-17,0,0,0,0.0212861829239045,8.60215807525945E-06,7.35063349228667E-22,6.82221088745845E-22,1.33702109373009E-06,3.7877605003142E-21,9.13522934420036E-06,0,0,0,0,0,0,package://QuadCoordFix/meshes/FR_Foot.STL,0.286274509803922,0.662745098039216,0.329411764705882,1,0,0,0,0,0,0,package://QuadCoordFix/meshes/FR_Foot.STL,,LegAssem-1/Foot-1,FR_Coord4,,FR_J4,fixed,0.2085,0.009,0,0,0,0,FR_Shin,0,0,0,,,,,,,,,,,,
FL_Hip,0.0297489009840162,0.0192378662036614,1.78144100027033E-08,0,0,0,0.244991783639187,0.000229565612565136,3.2971583814718E-12,-2.25080068065441E-10,0.000239714320228986,5.4613341688652E-12,0.000161925907771085,0,0,0,0,0,0,package://QuadCoordFix/meshes/FL_Hip.STL,0.00784313725490196,0.23921568627451,0.823529411764706,1,0,0,0,0,0,0,package://QuadCoordFix/meshes/FL_Hip.STL,,LegAssem-2/BearingPlanetary_UpdatedConnection-3/PlanetaryTrack_Ring_Male-2;LegAssem-2/TestMotorClamp4-1;LegAssem-2/BearingPlanetary-4/TestMotorClamp2-1;LegAssem-2/BearingPlanetary-4/MN5008-1/Stator-1;LegAssem-2/BearingPlanetary-4/MN5008-1/Rotor-1;LegAssem-2/BearingPlanetary-4/PlanetaryTrack_Base-1;LegAssem-2/BearingPlanetary-4/bearing_holder-1;LegAssem-2/BearingPlanetary-4/PlanetBearingGearAssem-1/planet_gear_bearing-1;LegAssem-2/BearingPlanetary-4/PlanetBearingGearAssem-3/planet_gear_bearing-1;LegAssem-2/BearingPlanetary-4/PlanetBearingGearAssem-2/planet_gear_bearing-1;LegAssem-2/BearingPlanetary-4/planet_plate_2-1,FL_Coord1,FL_Axis1,FL_J1,revolute,0.20557,0.1,0.05,0,0,0,Body,-1,0,0,0,0,0,0,,,,,,,,
FL_Thigh,0.0980566447834571,-0.0190172671660896,-5.61162512902058E-07,0,0,0,0.229986631658036,0.00018861313552413,2.90184454491025E-06,1.98376638239724E-08,0.000315458846369106,-1.17555629063208E-10,0.000157196373421682,0,0,0,0,0,0,package://QuadCoordFix/meshes/FL_Thigh.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://QuadCoordFix/meshes/FL_Thigh.STL,,LegAssem-2/CF_Tube-4;LegAssem-2/CF_Tube-1;LegAssem-2/BeltDriver-1/20T_CF_Slider_Support-1;LegAssem-2/BeltDriver-1/20T_CF_Slider-1;LegAssem-2/BeltDriver-1/BeltWheel_20T-1;LegAssem-2/BeltDriver-1/20T_MotorAdapter-1;LegAssem-2/BeltDriver-1/MN5008-1/Rotor-1;LegAssem-2/BeltDriver-1/MN5008-1/Stator-1;LegAssem-2/BeltDriver-1/TestMotorClamp2-1;LegAssem-2/80T_CF_Endcap2-1;LegAssem-2/80T_CF_Endcap-1;LegAssem-2/BearingPlanetary-4/PlanetaryTrack_Ring-2,FL_Coord2,FL_Axis2,FL_J2,continuous,0.045979703345944,0.0700000000000002,0,0,0,0,FL_Hip,0,-1,0,,,,,,,,,,,,
FL_Shin,0.0138759709657012,-0.00962959684662449,-2.52338263830587E-05,0,0,0,0.0450804634946887,6.90685534672865E-06,-1.18644635684175E-08,-6.4687698501209E-11,2.55597881022079E-05,8.56742150772354E-09,2.35362361387964E-05,0,0,0,0,0,0,package://QuadCoordFix/meshes/FL_Shin.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://QuadCoordFix/meshes/FL_Shin.STL,,LegAssem-2/5mmx100mm_shaft-1;LegAssem-2/Legpart2_CF_Holder-1;LegAssem-2/CF_Tube-2;LegAssem-2/CF_Tube-3;LegAssem-2/Legpart2_CF_Holder-2;LegAssem-2/BeltWheel_80T-1,FL_Coord3,FL_Axis3,FL_J3,continuous,0.218,0,0,0,0,0,FL_Thigh,0,1,0,,,,,,,,,,,,
FL_Foot,-0.00859640058408684,0,0,0,0,0,0.0212861829239045,8.60215807525945E-06,-2.19298649650027E-22,-5.89563052357886E-22,1.33702109373009E-06,1.88806857189689E-21,9.13522934420036E-06,0,0,0,0,0,0,package://QuadCoordFix/meshes/FL_Foot.STL,0.286274509803922,0.662745098039216,0.329411764705882,1,0,0,0,0,0,0,package://QuadCoordFix/meshes/FL_Foot.STL,,LegAssem-2/Foot-1,FL_Coord4,Axis_FL_J4,FL_J4,fixed,0.2085,-0.00900000000000001,0,0,0,0,FL_Shin,0,0,0,,,,,,,,,,,,
BR_Hip,-0.0297489009840161,-0.0192378662036614,1.78144099471922E-08,0,0,0,0.244991783639187,0.000229565612565136,3.29715837713592E-12,2.25080068062002E-10,0.000239714320228986,-5.46133414714872E-12,0.000161925907771085,0,0,0,0,0,0,package://QuadCoordFix/meshes/BR_Hip.STL,0.00784313725490196,0.23921568627451,0.823529411764706,1,0,0,0,0,0,0,package://QuadCoordFix/meshes/BR_Hip.STL,,LegAssem-3/BearingPlanetary_UpdatedConnection-3/PlanetaryTrack_Ring_Male-2;LegAssem-3/TestMotorClamp4-1;LegAssem-3/BearingPlanetary-4/TestMotorClamp2-1;LegAssem-3/BearingPlanetary-4/MN5008-1/Stator-1;LegAssem-3/BearingPlanetary-4/MN5008-1/Rotor-1;LegAssem-3/BearingPlanetary-4/PlanetaryTrack_Base-1;LegAssem-3/BearingPlanetary-4/bearing_holder-1;LegAssem-3/BearingPlanetary-4/PlanetBearingGearAssem-3/planet_gear_bearing-1;LegAssem-3/BearingPlanetary-4/PlanetBearingGearAssem-1/planet_gear_bearing-1;LegAssem-3/BearingPlanetary-4/PlanetBearingGearAssem-2/planet_gear_bearing-1;LegAssem-3/BearingPlanetary-4/planet_plate_2-1,BR_Coord1,BR_Axis1,BR_J1,revolute,-0.20557,-0.1,0.05,0,0,0,Body,1,0,0,0,0,0,0,,,,,,,,
